Hassan Asghar,"SVP, Chief Information Security Officer at Bremer Bank 
Go to Bremer Bank account page"
Matuke Sherri M.,"Senior Vice President, Operations Director at Bremer Bank 
Go to Bremer Bank account page"
Dan Flaningan,"Chief Strategy Officer at Bremer Bank 
Go to Bremer Bank account page"
Julie Schneider,"Senior Vice President and Director Benefits & HR Operations at Bremer Financial Services
Go to Bremer Financial Services account page"
Brian Stousland,"Residential Real Estate Lending Director and Secondary Marketing at Bremer Bank 
Go to Bremer Bank account page"
Julie McDonough,"Director of Private Wealth at Bremer Bank 
Go to Bremer Bank account page"
Travis Hoaglund,"EVP, Mortgage, Insurance, Wealth & Institutional Advisory at Bremer Bank 
Go to Bremer Bank account page"
Kelly Engler,"Vice President, Wealth Advisor at Bremer Bank 
Go to Bremer Bank account page"
Tom Rickers,"Executive Vice President of Consumer Banking and Operations at Bremer Bank 
Go to Bremer Bank account page"
